"_id","Codi INE","Nom del municipi","Nom curt del municipi","Article del municipi","Nom del municipi transliterat","Nom curt transliterat","Centre municipal","Codi de comarca","Nom de la comarca","Codi de la província","Nom de la província","Adreça completa","Adreça","Codi postal","Localització","Telèfon de contacte","Fax","Correu de contacte","Web","NIF","Escut del municipi","Bandera del municipi","Vista del municipi","Codi INE 6","Nom del recurs a la DBPedia","Nombre d'habitants","Extensió","Altitud","_lastChange"
"555c579ecf83d3d61744af62","08167","Polinyà","Polinyà","","polinya","polinya","41.5548086,2.1589097","40","Vallès Occidental","8","Barcelona","Pl. Vila, 1, 08213 Polinyà","Pl. Vila, 1","08213","41.5548086,2.1589097","937130264","937130248","polinya@ajpolinya.cat","https://www.polinya.cat","P0816600A","https://media.diba.cat/diba/municipis/img/escuts/ec08167.png","https://media.diba.cat/diba/municipis/img/banderes/bn08167.gif","https://media.diba.cat/diba/municipis/img/vistes/vista08167.jpg","081672","Polinyà","8494","8.93","158","2022-01-24 15:31:56"
"555c579ecf83d3d61744af78","08068","Cervelló","Cervelló","","cervello","cervello","41.396090099999995,1.9589423164244626","11","Baix Llobregat","8","Barcelona","Carrer Major, 146-148, 08758 Cervelló","Carrer Major, 146-148","08758","41.396090099999995,1.9589423164244626","936600070","936600659","cervello@cervello.diba.es","https://www.cervello.cat","P0806700A","https://media.diba.cat/diba/municipis/img/escuts/ec08068.png","https://media.diba.cat/diba/municipis/img/banderes/bn08068.gif","https://media.diba.cat/diba/municipis/img/vistes/vista08068.jpg","080689","Cervelló","9233","24.25","122","2022-01-24 15:31:56"
"555c579ecf83d3d61744af9e","08170","Els Prats de Rei","Prats de Rei","Els","els_prats_de_rei","prats_de_rei","41.699665800000005,1.5475827954414632","6","Anoia","8","Barcelona","Plaça Major, 1, 08281 Prats de Rei","Plaça Major, 1","08281","41.705569,1.5416153284116922","938698192","938698192","pratsr@diba.cat","https://www.pratsderei.cat","P0816900E","https://media.diba.cat/diba/municipis/img/escuts/ec08170.png","https://media.diba.cat/diba/municipis/img/banderes/bn08170.gif","https://media.diba.cat/diba/municipis/img/vistes/vista08170.jpg","081705","Els_Prats_de_Rei","551","32.76","608","2022-01-24 15:31:56"
"555c579ecf83d3d61744afa4","08204","Sant Climent de Llobregat","Sant Climent de Llobregat","","sant_climent_de_llobregat","sant_climent_de_llobregat","41.3366993,1.9970575","11","Baix Llobregat","8","Barcelona","Pl. Vila, 1, 08849 Sant Climent de Llobregat","Pl. Vila, 1","08849","41.3366993,1.9970575","936580791","936370971","st.climent@diba.cat","https://www.santclimentdellobregat.cat","P0820300B","https://media.diba.cat/diba/municipis/img/escuts/ec08204.png","https://media.diba.cat/diba/municipis/img/banderes/bn08204.gif","https://media.diba.cat/diba/municipis/img/vistes/vista08204.jpg","082042","Sant_Climent_de_Llobregat","4193","10.73","87","2022-01-24 15:31:57"
"555c579ecf83d3d61744afac","08133","Montmaneu","Montmaneu","","montmaneu","montmaneu","41.6259778,1.4147627","6","Anoia","8","Barcelona","Carrer de la Panadella, 8, 08717 Montmaneu","Carrer de la Panadella, 8","08717","41.6255686,1.4139825","938092010","938092010","montmaneu@diba.cat","https://www.montmaneu.cat","P0813200C","https://media.diba.cat/diba/municipis/img/escuts/ec08133.png","https://media.diba.cat/diba/municipis/img/banderes/bn08133.gif","https://media.diba.cat/diba/municipis/img/vistes/vista08133.jpg","081332","Montmaneu","158","13.55","709","2022-01-24 15:31:57"
"555c579ecf83d3d61744afba","08262","Sant Vicenç de Castellet","Sant Vicenç de Castellet","","sant_vicenc_de_castellet","sant_vicenc_de_castellet","41.6655144,1.863864095824069","7","Bages","8","Barcelona","Plaça de l\'Ajuntament, 10, 08295 Sant Vicenç de Castellet","Plaça de l\'Ajuntament, 10","08295","41.6655144,1.863864095824069","936930611","936930610","svcastellet@svc.cat","https://www.svc.cat","P0826200H","https://media.diba.cat/diba/municipis/img/escuts/ec08262.png","https://media.diba.cat/diba/municipis/img/banderes/bn08262.gif","https://media.diba.cat/diba/municipis/img/vistes/vista08262.jpg","082628","Sant_Vicenç_de_Castellet","9868","17.09","176","2022-01-24 15:31:56"
"555c579ecf83d3d61744afdc","08305","Vilafranca del Penedès","Vilafranca del Penedès","","vilafranca_del_penedes","vilafranca_del_penedes","41.3457239,1.6974933","3","Alt Penedès","8","Barcelona","Cort, 14, 08720 Vilafranca del Penedès","Cort, 14","08720","41.3457239,1.6974933","938920358","938921166","ajuntament@vilafranca.org","https://www.vilafranca.cat","P0830600C","https://media.diba.cat/diba/municipis/img/escuts/ec08305.png","https://media.diba.cat/diba/municipis/img/banderes/bn08305.gif","https://media.diba.cat/diba/municipis/img/vistes/vista08305.jpg","083054","Vilafranca_del_Penedès","39969","19.63","223","2022-01-24 15:31:56"
"555c579ecf83d3d61744af77","08060","Castellfollit de Riubregós","Castellfollit de Riubregós","","castellfollit_de_riubregos","castellfollit_de_riubregos","41.7759169,1.4374576","6","Anoia","8","Barcelona","Carrer Major, 10, 08283 Castellfollit de Riubregós","Carrer Major, 10","08283","41.7759169,1.4374576","938693031","938693125","castellfollitr@diba.cat","https://www.riubregos.cat","P0805900H","https://media.diba.cat/diba/municipis/img/escuts/ec08060.png","https://media.diba.cat/diba/municipis/img/banderes/bn08060.gif","https://media.diba.cat/diba/municipis/img/vistes/vista08060.jpg","080608","Castellfollit_de_Riubregós","163","26.28","467","2022-01-24 15:31:56"
"555c579ecf83d3d61744afaf","08241","Sant Sadurní d\'Osormort","Sant Sadurní d\'Osormort","","sant_sadurni_dosormort","sant_sadurni_dosormort","41.903220,2.381632","24","Osona","8","Barcelona","Carretera de Sant Hilari, s/n Casa la Fullaca, 08519 Sant Sadurní d\'Osormort","Carretera de Sant Hilari, s/n Casa la Fullaca","08519","41.903220,2.381632","938887375","938887375","st.sadurnio@diba.cat","https://www.santsadurnidosormort.cat","P0824100B","https://media.diba.cat/diba/municipis/img/escuts/ec08241.png","https://media.diba.cat/diba/municipis/img/banderes/bn08241.gif","https://media.diba.cat/diba/municipis/img/vistes/vista08241.jpg","082418","Sant_Sadurní_d\'Osormort","76","30.86","526","2021-04-18 09:22:01"
"555c579ecf83d3d61744afbc","08264","Sant Vicenç de Montalt","Sant Vicenç de Montalt","","sant_vicenc_de_montalt","sant_vicenc_de_montalt","41.5773089,2.5096815","21","Maresme","8","Barcelona","Sant Antoni, 13, 08394 Sant Vicenç de Montalt","Sant Antoni, 13","08394","41.5773089,2.5096815","937910511","937912961","oficines@svmontalt.cat","https://www.svmontalt.cat","P0826400D","https://media.diba.cat/diba/municipis/img/escuts/ec08264.png","https://media.diba.cat/diba/municipis/img/banderes/bn08264.gif","https://media.diba.cat/diba/municipis/img/vistes/vista08264.jpg","082649","Sant_Vicenç_de_Montalt","6523","8","143","2022-01-24 15:31:56"
"555c579ecf83d3d61744affe","08174","Puigdàlber","Puigdàlber","","puigdalber","puigdalber","41.404276,1.701106","3","Alt Penedès","8","Barcelona","Plaça de la Vila, 1, 08797 Puigdàlber","Plaça de la Vila, 1","08797","41.404276,1.701106","938989077","938989095","puigdalber@diba.cat","https://www.puigdalber.cat","P0817300G","https://media.diba.cat/diba/municipis/img/escuts/ec08174.png","https://media.diba.cat/diba/municipis/img/banderes/bn08174.gif","https://media.diba.cat/diba/municipis/img/vistes/vista08174.jpg","081748","Puigdàlber","551",".4","239","2022-01-24 15:31:56"
"555c579ecf83d3d61744afcb","08285","Torelló","Torelló","","torello","torello","42.0471199,2.2607615","24","Osona","8","Barcelona","C/ Ges d\'Avall, 5, 08570 Torelló","C/ Ges d\'Avall, 5","08570","42.0471199,2.2607615","938591050","938504320","torello@ajtorello.cat","https://www.ajtorello.cat","P0828500I","https://media.diba.cat/diba/municipis/img/escuts/ec08285.png","https://media.diba.cat/diba/municipis/img/banderes/bn08285.gif","https://media.diba.cat/diba/municipis/img/vistes/vista08285.jpg","082858","Torelló","14553","13.51","508","2022-01-24 15:31:56"
"555c579ecf83d3d61744b000","08177","La Quar","Quar","La","la_quar","quar","42.1050263,1.9807775","14","Berguedà","8","Barcelona","C/ Antoni Raurell, 1, 08619 Quar","C/ Antoni Raurell, 1","08619","42.1050263,1.9807775","938242007","938242007","rosascs@diba.cat","","P0817600J","https://media.diba.cat/diba/municipis/img/escuts/ec08177.png","https://media.diba.cat/diba/municipis/img/banderes/bn08177.gif","https://media.diba.cat/diba/municipis/img/vistes/vista08177.jpg","081770","La_Quar","51","37.89","1061","2022-01-24 15:31:56"
"555c579ecf83d3d61744afd9","08302","Vilanova del Camí","Vilanova del Camí","","vilanova_del_cami","vilanova_del_cami","41.5724417,1.6343298","6","Anoia","8","Barcelona","Plaça del Castell, 1, 08788 Vilanova del Camí","Plaça del Castell, 1","08788","41.5724417,1.6343298","938054422","938054290","vilanovac@vilanovadelcami.cat","https://www.vilanovadelcami.cat","P0830300J","https://media.diba.cat/diba/municipis/img/escuts/ec08302.png","https://media.diba.cat/diba/municipis/img/banderes/bn08302.gif","https://media.diba.cat/diba/municipis/img/vistes/vista08302.jpg","083020","Vilanova_del_Camí","12736","10.54","302","2022-01-24 15:31:56"
"555c579ecf83d3d61744b00a","08191","Sallent","Sallent","","sallent","sallent","41.83953425,1.9084348898481949","7","Bages","8","Barcelona","Torres Amat, 26, 08650 Sallent","Torres Amat, 26","08650","41.8238807,1.8957502","938370200","938206160","sallent@sallent.cat","https://www.sallent.cat","P0819000A","https://media.diba.cat/diba/municipis/img/escuts/ec08191.png","https://media.diba.cat/diba/municipis/img/banderes/bn08191.gif","https://media.diba.cat/diba/municipis/img/vistes/vista08191.jpg","081918","Sallent","6717","65.8","275","2022-01-24 15:31:56"
"555c579ecf83d3d61744af7c","08108","Lliçà de Vall","Lliçà de Vall","","llica_de_vall","llica_de_vall","41.58591735,2.2396524989697655","41","Vallès Oriental","8","Barcelona","Plaça de la Vila, s/n, 08185 Lliçà de Vall","Plaça de la Vila, s/n","08185","41.58591735,2.2396524989697655","938439000","938439375","llissadevall@llissadevall.org","https://www.llissadevall.cat","P0810700E","https://media.diba.cat/diba/municipis/img/escuts/ec08108.png","https://media.diba.cat/diba/municipis/img/banderes/bn08108.gif","https://media.diba.cat/diba/municipis/img/vistes/vista08108.jpg","081081","Lliçà_de_Vall","6580","10.66","125","2022-01-24 15:31:56"
"555c579ecf83d3d61744afda","08303","Vilanova de Sau","Vilanova de Sau","","vilanova_de_sau","vilanova_de_sau","41.9476741,2.383405","24","Osona","8","Barcelona","Passeig de Verdaguer, 7, 08519 Vilanova de Sau","Passeig de Verdaguer, 7","08519","41.9472052,2.3837277","938847006","938847106","vilanovas@diba.cat","https://www.vilanovadesau.cat","P0830400H","https://media.diba.cat/diba/municipis/img/escuts/ec08303.png","https://media.diba.cat/diba/municipis/img/banderes/bn08303.gif","https://media.diba.cat/diba/municipis/img/vistes/vista08303.jpg","083036","Vilanova_de_Sau","314","58.3","558","2022-01-24 15:31:56"
"555c579ecf83d3d61744b00f","08197","Sant Andreu de Llavaneres","Sant Andreu de Llavaneres","","sant_andreu_de_llavaneres","sant_andreu_de_llavaneres","41.5739524,2.4828158","21","Maresme","8","Barcelona","Pl. Vila, 1, 08392 Sant Andreu de Llavaneres","Pl. Vila, 1","08392","41.5742648,2.4833554","937023600","937952630","ajuntament@llavaneres.es","https://www.ajllavaneres.cat","P0819600H","https://media.diba.cat/diba/municipis/img/escuts/ec08197.png","https://media.diba.cat/diba/municipis/img/banderes/bn08197.gif","https://media.diba.cat/diba/municipis/img/vistes/vista08197.jpg","081976","Sant_Andreu_de_Llavaneres","11150","11.9","125","2022-01-24 15:31:56"
"555c579ecf83d3d61744af87","08254","L\'Esquirol","Esquirol","L\'","lesquirol","esquirol","42.035084,2.369045","24","Osona","8","Barcelona","Carrer Nou, 1, 08511 Esquirol","Carrer Nou, 1","08511","42.035084,2.369045","938568000","938568305","miquelvilella@lesquirol.cat","https://www.lesquirol.cat","P0825400E","https://media.diba.cat/diba/municipis/img/escuts/ec08254.png","https://media.diba.cat/diba/municipis/img/banderes/bn08254.gif","https://media.diba.cat/diba/municipis/img/vistes/vista08254.jpg","082541","L\'Esquirol","2198","61.97","693","2022-01-24 15:31:57"
"555c579ecf83d3d61744b014","08206","Sant Cugat Sesgarrigues","Sant Cugat Sesgarrigues","","sant_cugat_sesgarrigues","sant_cugat_sesgarrigues","41.3644619,1.7530702","3","Alt Penedès","8","Barcelona","Carrer de Sant Antoni, 31, 08798 Sant Cugat Sesgarrigues","Carrer de Sant Antoni, 31","08798","41.3627267,1.7523515","938970103","938970690","st.cugats@diba.cat","https://www.santcugatsesgarrigues.cat","P0820500G","https://media.diba.cat/diba/municipis/img/escuts/ec08206.png","https://media.diba.cat/diba/municipis/img/banderes/bn08206.gif","https://media.diba.cat/diba/municipis/img/vistes/vista08206.jpg","082068","Sant_Cugat_Sesgarrigues","1004","6.29","266","2022-01-24 15:31:56"
"555c579ecf83d3d61744af97","08055","Castellcir","Castellcir","","castellcir","castellcir","41.7615048,2.1507238","42","Moianès","8","Barcelona","Pl. Era, s/n, 08183 Castellcir","Pl. Era, s/n","08183","41.7615048,2.1507238","938668151","938668151","castellcir@diba.cat","https://www.castellcir.cat","P0805400I","https://media.diba.cat/diba/municipis/img/escuts/ec08055.png","https://media.diba.cat/diba/municipis/img/banderes/bn08055.gif","https://media.diba.cat/diba/municipis/img/vistes/vista08055.jpg","080556","Castellcir","753","34.5","693","2022-01-24 15:31:56"
"555c579ecf83d3d61744afe6","08229","Sant Mateu de Bages","Sant Mateu de Bages","","sant_mateu_de_bages","sant_mateu_de_bages","41.8180901,1.6766154693279391","7","Bages","8","Barcelona","Casa Consistorial, 08263 Sant Mateu de Bages","Casa Consistorial","08263","41.8180901,1.6766154693279391","938360010","931157043","st.mateu@diba.cat","https://www.santmateudebages.cat","P0822900G","https://media.diba.cat/diba/municipis/img/escuts/ec08229.png","","https://media.diba.cat/diba/municipis/img/vistes/vista08229.jpg","082299","Sant_Mateu_de_Bages","614","102.9","569","2022-01-24 15:31:56"
"555c579ecf83d3d61744af98","08056","Castelldefels","Castelldefels","","castelldefels","castelldefels","41.2861022,1.9824173","11","Baix Llobregat","8","Barcelona","Plaça de l\'Església, 1, 08860 Castelldefels","Plaça de l\'Església, 1","08860","41.28052425,1.9770386010003076","936651150","936657714","ajuntament@castelldefels.org","https://www.castelldefels.org","P0805500F","https://media.diba.cat/diba/municipis/img/escuts/ec08056.png","https://media.diba.cat/diba/municipis/img/banderes/bn08056.gif","https://media.diba.cat/diba/municipis/img/vistes/vista08056.jpg","080569","Castelldefels","67226","12.5","3","2022-01-24 15:31:56"
"555c579ecf83d3d61744b022","08004","Alpens","Alpens","","alpens","alpens","42.1195348,2.101673","24","Osona","8","Barcelona","Plaça Major, 15, 08587 Alpens","Plaça Major, 15","08587","42.1195248,2.1010172","938578075","938578032","alpens@diba.cat","https://www.alpens.cat","P0800400D","https://media.diba.cat/diba/municipis/img/escuts/ec08004.png","https://media.diba.cat/diba/municipis/img/banderes/bn08004.gif","https://media.diba.cat/diba/municipis/img/vistes/vista08004.jpg","080044","Alpens","269","13.83","855","2022-01-24 15:31:56"
"555c579ecf83d3d61744afb4","08905","La Palma de Cervelló","Palma de Cervelló","La","la_palma_de_cervello","palma_de_cervello","41.4109843,1.9712064","11","Baix Llobregat","8","Barcelona","c/ Sant Cristòfor, s/n., 08756 Palma de Cervelló","c/ Sant Cristòfor, s/n.","08756","41.4109843,1.9712064","936720202","936720125","palma@diba.cat","http://www.lapalmadecervello.cat","P5831301F","https://media.diba.cat/diba/municipis/img/escuts/ec08905.png","https://media.diba.cat/diba/municipis/img/banderes/bn08905.gif","https://media.diba.cat/diba/municipis/img/vistes/vista08905.jpg","089058","La_Palma_de_Cervelló","3015","5.37","","2022-01-24 15:31:57"
"555c579ecf83d3d61744afc6","08279","Terrassa","Terrassa","","terrassa","terrassa","41.5629623,2.0100492","40","Vallès Occidental","8","Barcelona","Raval de Montserrat, 14, 08221 Terrassa","Raval de Montserrat, 14","08221","41.5632464,2.008931146250865","937397000","937397067","ajuntament@terrassa.cat","https://www.terrassa.cat","P0827900B","https://media.diba.cat/diba/municipis/img/escuts/ec08279.png","https://media.diba.cat/diba/municipis/img/banderes/bn08279.gif","https://media.diba.cat/diba/municipis/img/vistes/vista08279.jpg","082798","Terrassa","223011","70.1","277","2022-01-24 15:31:56"
"555c579ecf83d3d61744afc9","08283","Tona","Tona","","tona","tona","41.8538039,2.2280115","24","Osona","8","Barcelona","Carrer de la Font, 8-10, 08551 Tona","Carrer de la Font, 8-10","08551","41.8500997,2.2291918","938870201","938870498","tona@tona.cat","https://www.tona.cat","P0828300D","https://media.diba.cat/diba/municipis/img/escuts/ec08283.png","https://media.diba.cat/diba/municipis/img/banderes/bn08283.gif","https://media.diba.cat/diba/municipis/img/vistes/vista08283.jpg","082830","Tona","8368","16.47","596","2022-01-24 15:31:56"
"555c579ecf83d3d61744b02c","08015","Badalona","Badalona","","badalona","badalona","41.4493539,2.248254","13","Barcelonès","8","Barcelona","Pl. de la Vila, 1, 08911 Badalona","Pl. de la Vila, 1","08911","41.450069,2.2475168","934832600","933840478","correu@badalona.cat","https://www.badalona.cat","P0801500J","https://media.diba.cat/diba/municipis/img/escuts/ec08015.png","https://media.diba.cat/diba/municipis/img/banderes/bn08015.gif","https://media.diba.cat/diba/municipis/img/vistes/vista08015.jpg","080155","Badalona","223006","22.2","6","2022-01-24 15:31:56"
"555c579ecf83d3d61744aff7","08164","El Pla del Penedès","Pla del Penedès","El","el_pla_del_penedes","pla_del_penedes","41.4181215,1.7108739","3","Alt Penedès","8","Barcelona","Plaça Pau Fontanals, 1, 08733 Pla del Penedès","Plaça Pau Fontanals, 1","08733","41.4181215,1.7108739","938988003","938989031","pla@diba.cat","https://www.elpladelpenedes.cat","P0816300H","https://media.diba.cat/diba/municipis/img/escuts/ec08164.png","https://media.diba.cat/diba/municipis/img/banderes/bn08164.gif","https://media.diba.cat/diba/municipis/img/vistes/vista08164.jpg","081640","El_Pla_del_Penedès","1306","9.45","216","2022-01-24 15:31:56"
"555c579ecf83d3d61744afd1","08291","Vacarisses","Vacarisses","","vacarisses","vacarisses","41.592496,1.8936269","40","Vallès Occidental","8","Barcelona","Carrer de Pau Casals, 17, 08233 Vacarisses","Carrer de Pau Casals, 17","08233","41.605908850000006,1.918851602786519","938359002","938359407","vacarisses@vacarisses.cat","https://www.vacarisses.cat","P0829100G","https://media.diba.cat/diba/municipis/img/escuts/ec08291.png","https://media.diba.cat/diba/municipis/img/banderes/bn08291.gif","https://media.diba.cat/diba/municipis/img/vistes/vista08291.jpg","082917","Vacarisses","7082","41","382","2022-01-24 15:31:56"
"555c579ecf83d3d61744b037","08029","Cabrera de Mar","Cabrera de Mar","","cabrera_de_mar","cabrera_de_mar","41.5276986,2.3925117","21","Maresme","8","Barcelona","Plaça de l\' Ajuntament, 5, 08349 Cabrera de Mar","Plaça de l\' Ajuntament, 5","08349","41.5259241,2.393349670241081","937590091","937500284","info@cabrerademar.cat","https://www.cabrerademar.cat","P0802900A","https://media.diba.cat/diba/municipis/img/escuts/ec08029.png","https://media.diba.cat/diba/municipis/img/banderes/bn08029.gif","https://media.diba.cat/diba/municipis/img/vistes/vista08029.jpg","080291","Cabrera_de_Mar","4787","9.5","104","2022-01-24 15:31:56"
"555c579ecf83d3d61744afdd","08308","Viver i Serrateix","Viver i Serrateix","","viver_i_serrateix","viver_i_serrateix","41.94976665,1.8014849913940252","14","Berguedà","8","Barcelona","Casa de la Vila, 08673 Viver i Serrateix","Casa de la Vila","08673","41.94976665,1.8014849913940252","938204922","938204922","viver@diba.cat","https://www.viveriserrateix.cat","P0830900G","https://media.diba.cat/diba/municipis/img/escuts/ec08308.png","https://media.diba.cat/diba/municipis/img/banderes/bn08308.gif","https://media.diba.cat/diba/municipis/img/vistes/vista08308.jpg","083089","Viver_i_Serrateix","175","66.81","729","2022-01-24 15:31:56"
"555c579ecf83d3d61744afe7","08230","Premià de Dalt","Premià de Dalt","","premia_de_dalt","premia_de_dalt","41.505528999999996,2.3458075825358504","21","Maresme","8","Barcelona","Plaça de La Fàbrica, 1, 08338 Premià de Dalt","Plaça de La Fàbrica, 1","08338","41.505528999999996,2.3458075825358504","936931515","936931599","ajuntament@premiadedalt.cat","https://www.premiadedalt.cat","P0823000E","https://media.diba.cat/diba/municipis/img/escuts/ec08230.png","","https://media.diba.cat/diba/municipis/img/vistes/vista08230.jpg","082303","Premià_de_Dalt","10419","6.5","142","2022-01-24 15:31:56"
"555c579ecf83d3d61744b043","08044","Capellades","Capellades","","capellades","capellades","41.53,1.684787","6","Anoia","8","Barcelona","C/ Ramon Godó, núm. 9, 08786 Capellades","C/ Ramon Godó, núm. 9","08786","41.53,1.684787","938011001","938013969","capellades@capellades.cat","https://www.capellades.cat","P0804300B","https://media.diba.cat/diba/municipis/img/escuts/ec08044.png","https://media.diba.cat/diba/municipis/img/banderes/bn08044.gif","https://media.diba.cat/diba/municipis/img/vistes/vista08044.jpg","080446","Capellades","5314","2.9","317","2022-01-24 15:31:56"
"555c579ecf83d3d61744b052","08125","Montcada i Reixac","Montcada i Reixac","","montcada_i_reixac","montcada_i_reixac","41.4823115,2.1869985","40","Vallès Occidental","8","Barcelona","Av. de la Unitat, 6, 08110 Montcada i Reixac","Av. de la Unitat, 6","08110","41.4800154,2.187231690174574","935726474","935726493","ajuntament@montcada.org","https://www.montcada.cat","P0812400J","https://media.diba.cat/diba/municipis/img/escuts/ec08125.png","https://media.diba.cat/diba/municipis/img/banderes/bn08125.gif","https://media.diba.cat/diba/municipis/img/vistes/vista08125.jpg","081252","Montcada_i_Reixac","36794","23.34","36","2022-01-24 15:31:56"
"555c579ecf83d3d61744b00d","08194","Sant Adrià de Besòs","Sant Adrià de Besòs","","sant_adria_de_besos","sant_adria_de_besos","41.43009205,2.217844945530679","13","Barcelonès","8","Barcelona","Pl. Vila, 12, 08930 Sant Adrià de Besòs","Pl. Vila, 12","08930","41.43009205,2.217844945530679","933812004","933817056","alcaldia@sant-adria.net","https://www.sant-adria.net","P0819300E","https://media.diba.cat/diba/municipis/img/escuts/ec08194.png","https://media.diba.cat/diba/municipis/img/banderes/bn08194.gif","https://media.diba.cat/diba/municipis/img/vistes/vista08194.jpg","081944","Sant_Adrià_de_Besòs","37283","3.87","14","2022-01-24 15:31:56"
"555c579ecf83d3d61744b016","08208","Sant Esteve Sesrovires","Sant Esteve Sesrovires","","sant_esteve_sesrovires","sant_esteve_sesrovires","41.4932429,1.8747348","11","Baix Llobregat","8","Barcelona","Carrer Major, 8, 08635 Sant Esteve Sesrovires","Carrer Major, 8","08635","41.4927907,1.8741978","937713017","937713120","ajuntament@sesrovires.net","https://www.sesrovires.cat","P0820700C","https://media.diba.cat/diba/municipis/img/escuts/ec08208.png","https://media.diba.cat/diba/municipis/img/banderes/bn08208.gif","https://media.diba.cat/diba/municipis/img/vistes/vista08208.jpg","082080","Sant_Esteve_Sesrovires","7771","18.64","173","2022-01-24 15:31:56"
"555c579ecf83d3d61744b062","08228","Sant Martí Sesgueioles","Sant Martí Sesgueioles","","sant_marti_sesgueioles","sant_marti_sesgueioles","41.70067,1.49087","6","Anoia","8","Barcelona","Plaça de l\'Ajuntament, s/n, 08282 Sant Martí Sesgueioles","Plaça de l\'Ajuntament, s/n","08282","41.70067,1.49087","938681122","938681122","st.martises@diba.cat","https://www.sesgueioles.cat","P0822800I","https://media.diba.cat/diba/municipis/img/escuts/ec08228.png","https://media.diba.cat/diba/municipis/img/banderes/bn08228.gif","https://media.diba.cat/diba/municipis/img/vistes/vista08228.jpg","082286","Sant_Martí_Sesgueioles","344","3.8","646","2022-01-24 15:31:56"
"555c579ecf83d3d61744b01e","08218","Sant Joan de Vilatorrada","Sant Joan de Vilatorrada","","sant_joan_de_vilatorrada","sant_joan_de_vilatorrada","41.7422073,1.803625","7","Bages","8","Barcelona","Major, 91-93, 08250 Sant Joan de Vilatorrada","Major, 91-93","08250","41.7429608,1.8050437","938764040","938764440","ajuntament@santjoanvilatorrada.cat","https://www.santjoanvilatorrada.cat","P0822500E","https://media.diba.cat/diba/municipis/img/escuts/ec08218.png","https://media.diba.cat/diba/municipis/img/banderes/bn08218.gif","https://media.diba.cat/diba/municipis/img/vistes/vista08218.jpg","082188","Sant_Joan_de_Vilatorrada","10871","16.25","277","2022-01-24 15:31:56"
"555c579ecf83d3d61744afff","08175","Puig-reig","Puig-reig","","puigreig","puigreig","41.9735499,1.8775308","14","Berguedà","8","Barcelona","Carrer de Pau Casals, 1, 08692 Puig-reig","Carrer de Pau Casals, 1","08692","41.9740189,1.8790426","938380000","938381302","ajuntament@puig-reig.cat","https://www.puig-reig.cat","P0817400E","https://media.diba.cat/diba/municipis/img/escuts/ec08175.png","https://media.diba.cat/diba/municipis/img/banderes/bn08175.gif","https://media.diba.cat/diba/municipis/img/vistes/vista08175.jpg","081751","Puig-reig","4289","46.23","455","2022-01-24 15:31:56"
